Go, Nogo, Block, Condition,Box,GoImg,NoGoImg,Scrambled_Words,Scrambled_Pictures
tie,,,,,/Stimuli/ManMade/toolbox02.jpg,,/Stimuli/Scrambled/Slide33S0.JPG,/Stimuli/Scrambled/recyclingbinS0.jpg
tile,,,,,/Stimuli/ManMade/tower.jpg,,/Stimuli/Scrambled/Slide34S0.JPG,/Stimuli/Scrambled/revolverS0.jpg
tyre,,,,,/Stimuli/ManMade/trampoline.jpg,,/Stimuli/Scrambled/Slide35S0.JPG,/Stimuli/Scrambled/rhinoceros02S0.jpg
tombstone,,,,,/Stimuli/ManMade/treadmill.jpg,,/Stimuli/Scrambled/Slide36S0.JPG,/Stimuli/Scrambled/roosterS0.jpg
toolbox,,,,,/Stimuli/ManMade/tricycle.jpg,,/Stimuli/Scrambled/Slide37S0.JPG,/Stimuli/Scrambled/safeS0.jpg
trailer,,,,,/Stimuli/ManMade/trombone.jpg,,/Stimuli/Scrambled/Slide38S0.JPG,/Stimuli/Scrambled/sapsuckerS0.jpg
trampoline,,,,,/Stimuli/ManMade/trophy01.jpg,,/Stimuli/Scrambled/Slide39S0.JPG,/Stimuli/Scrambled/saxophoneS0.jpg
treadmill,,,,,/Stimuli/ManMade/trumpet.jpg,,/Stimuli/Scrambled/Slide3S0.JPG,/Stimuli/Scrambled/scannerS0.jpg
tricycle,,,,,/Stimuli/ManMade/tuba.jpg,,/Stimuli/Scrambled/Slide40S0.JPG,/Stimuli/Scrambled/scooterS0.jpg
trombone,,,,,/Stimuli/ManMade/turnstile.jpg,,/Stimuli/Scrambled/Slide41S0.JPG,/Stimuli/Scrambled/scorpionS0.jpg
truck,,,,,/Stimuli/ManMade/vacuumcleaner01.jpg,,/Stimuli/Scrambled/Slide42S0.JPG,/Stimuli/Scrambled/securitycameraS0.jpg
trumpet,,,,,/Stimuli/ManMade/volleyball.jpg,,/Stimuli/Scrambled/Slide43S0.JPG,/Stimuli/Scrambled/servingspoon01S0.jpg
tuba,,,,,/Stimuli/ManMade/wallclock.jpg,,/Stimuli/Scrambled/Slide44S0.JPG,/Stimuli/Scrambled/sheepS0.jpg
turnstile,,,,,/Stimuli/ManMade/wheelchair.jpg,,/Stimuli/Scrambled/Slide45S0.JPG,/Stimuli/Scrambled/shelfS0.jpg
umbrella,,,,,/Stimuli/ManMade/windmill.jpg,,/Stimuli/Scrambled/Slide46S0.JPG,/Stimuli/Scrambled/shield02S0.jpg
vacuum,,,,,/Stimuli/ManMade/woodencrate01.jpg,,/Stimuli/Scrambled/Slide47S0.JPG,/Stimuli/Scrambled/shovel01S0.jpg
volleyball,,,,,/Stimuli/ManMade/woodenfence.jpg,,/Stimuli/Scrambled/Slide48S0.JPG,/Stimuli/Scrambled/sinkS0.jpg
wheel,,,,,/Stimuli/ManMade/worldmap.jpg,,/Stimuli/Scrambled/Slide49S0.JPG,/Stimuli/Scrambled/skateboardS0.jpg
wheelchair,,,,,/Stimuli/ManMade/xylophone.jpg,,/Stimuli/Scrambled/Slide4S0.JPG,/Stimuli/Scrambled/skihelmet01S0.jpg
windmill,,,,,/Stimuli/ManMade/zipper.jpg,,/Stimuli/Scrambled/Slide50S0.JPG,/Stimuli/Scrambled/skunkS0.jpg
wrench,,,,,/Stimuli/ManMade/cashregister01.jpg,,/Stimuli/Scrambled/Slide51S0.JPG,/Stimuli/Scrambled/sledgehammerS0.jpg
xylophone,,,,,/Stimuli/ManMade/garbagecan02.jpg,,/Stimuli/Scrambled/Slide52S0.JPG,/Stimuli/Scrambled/slugS0.jpg
zipper,,,,,/Stimuli/ManMade/hedgeshears.jpg,,/Stimuli/Scrambled/Slide53S0.JPG,/Stimuli/Scrambled/snowboardS0.jpg
scissors,,,,,/Stimuli/ManMade/jumpercables.jpg,,/Stimuli/Scrambled/Slide54S0.JPG,/Stimuli/Scrambled/snowmanS0.jpg
cables,,,,,/Stimuli/ManMade/nintendods.jpg,,/Stimuli/Scrambled/Slide55S0.JPG,/Stimuli/Scrambled/soccerballS0.jpg
boots,,,,,/Stimuli/ManMade/rainboot.jpg,,/Stimuli/Scrambled/Slide56S0.JPG,/Stimuli/Scrambled/spacerocketS0.jpg
,,,,,,,/Stimuli/Scrambled/Slide57S0.JPG,/Stimuli/Scrambled/spear02S0.jpg
,,,,,,,/Stimuli/Scrambled/Slide58S0.JPG,/Stimuli/Scrambled/squidS0.jpg
,,,,,,,/Stimuli/Scrambled/Slide59S0.JPG,/Stimuli/Scrambled/squirrelS0.jpg
,,,,,,,/Stimuli/Scrambled/Slide5S0.JPG,/Stimuli/Scrambled/stairsS0.jpg
,,,,,,,/Stimuli/Scrambled/Slide60S0.JPG,/Stimuli/Scrambled/statueS0.jpg
,,,,,,,/Stimuli/Scrambled/Slide61S0.JPG,/Stimuli/Scrambled/stool01S0.jpg
,,,,,,,/Stimuli/Scrambled/Slide62S0.JPG,/Stimuli/Scrambled/strapS0.jpg
,,,,,,,/Stimuli/Scrambled/Slide63S0.JPG,/Stimuli/Scrambled/strollerS0.jpg
,,,,,,,/Stimuli/Scrambled/Slide64S0.JPG,/Stimuli/Scrambled/stubbywrench01aS0.jpg
,,,,,,,/Stimuli/Scrambled/Slide65S0.JPG,/Stimuli/Scrambled/suitofarmorS0.jpg
,,,,,,,/Stimuli/Scrambled/Slide66S0.JPG,/Stimuli/Scrambled/swimsuitS0.jpg
,,,,,,,/Stimuli/Scrambled/Slide67S0.JPG,/Stimuli/Scrambled/swingS0.jpg
,,,,,,,/Stimuli/Scrambled/Slide68S0.JPG,/Stimuli/Scrambled/sword01S0.jpg
,,,,,,,/Stimuli/Scrambled/Slide69S0.JPG,/Stimuli/Scrambled/table01S0.jpg
,,,,,,,/Stimuli/Scrambled/Slide6S0.JPG,/Stimuli/Scrambled/tambourine03S0.jpg
,,,,,,,/Stimuli/Scrambled/Slide70S0.JPG,/Stimuli/Scrambled/tankS0.jpg
